S4JobIndustry,S4EdExpected,S4OCC30EARN,S4JOBSECURE,S4JOBBALANCE,S4JOBCONTRIB,S4JOBDECISION,S4LOCATION,S4JOBTEAMWRK,S4ParEd,X4X2SES,X4HSCOMPSTAT,X4LOCALE,X4REGION,X4ATPRLVLA,X4PSLFSTFB16,Weight
Trades and technical,Some college,50000,More important than salary,Equally important,Less important than salary,Equally important,Less important than salary,Equally important,"High school diploma, equivalent, or less",-0.1863,Diploma,Rural,Midwest,Attained certificate,Enrolled in postsecondary education and employed part-time,29.5231268735157
Other,Some college,25000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,"High school diploma, equivalent, or less",-0.59,Diploma,Suburb,Northeast,Item legitimate skip/NA,Not enrolled in postsecondary education and employed full-time,20.7106310592986
Don't Know,More than a bachelor's degree,85000,Equally important,More important than salary,More important than salary,Equally important,More important than salary,More important than salary,Bachelor's degree,1.1752,Diploma,Suburb,West,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and not in the labor force,244.731294999688
Healthcare,Bachelor's degree,80000,More important than salary,More important than salary,Equally important,Less important than salary,Equally important,Equally important,Some college,-1.2849,Diploma,Suburb,Midwest,"No degree, enrolled at less-than-4-year",Enrolled in postsecondary education and employed full-time,191.606250727707
Healthcare,Bachelor's degree,80000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,Bachelor's degree,1.1912,Diploma,Suburb,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,301.492600884035
Business and Management,Bachelor's degree,100000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,More than a bachelor's degree,0.2423,Diploma,Rural,Midwest,"No degree, not enrolled",Not enrolled in postsecondary education and employed full-time,465.31246203852
Business and Management,Bachelor's degree,80000,More important than salary,More important than salary,More important than salary,More important than salary,Less important than salary,More important than salary,"High school diploma, equivalent, or less",-0.547,Diploma,Rural,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed full-time,797.375895398276
Education,Associate's degree,35000,More important than salary,More important than salary,Less important than salary,More important than salary,Less important than salary,Equally important,Some college,-0.5545,Diploma,Rural,South,"No degree, enrolled at less-than-4-year",Enrolled in postsecondary education and unemployed,394.316854720475
Don't Know,Bachelor's degree,100000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,"High school diploma, equivalent, or less",-0.6378,Diploma,Suburb,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and unemployed,388.266776050483
Business and Management,Associate's degree,100000,Equally important,Equally important,Less important than salary,More important than salary,Equally important,Equally important,"High school diploma, equivalent, or less",-0.9215,Diploma,City,Midwest,Item legitimate skip/NA,Not enrolled in postsecondary education and employed full-time,235.269163163654
Don't Know,Don't know,40000,More important than salary,More important than salary,Equally important,Equally important,Equally important,Equally important,Associate's degree,-0.1218,Diploma,Suburb,West,Attained certificate,Not enrolled in postsecondary education and employed full-time,424.413338593334
Business and Management,Don't know,60000,More important than salary,More important than salary,Equally important,More important than salary,More important than salary,Equally important,Associate's degree,-0.2717,Diploma,City,West,"No degree, not enrolled",Not enrolled in postsecondary education and employed part-time,186.759022887672
Trades and technical,More than a bachelor's degree,60000,Equally important,More important than salary,More important than salary,More important than salary,More important than salary,Equally important,More than a bachelor's degree,2.0177,Diploma,City,West,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,99.1603543434518
Don't Know,Associate's degree,1000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,Associate's degree,-0.0656,Diploma,Suburb,West,Item legitimate skip/NA,Not enrolled in postsecondary education and employed part-time,463.786216080147
Trades and technical,Don't know,50000,Equally important,More important than salary,Less important than salary,More important than salary,Equally important,Less important than salary,More than a bachelor's degree,1.2446,Diploma,Town,South,Attained associate's degree,Not enrolled in postsecondary education and employed part-time,107.127023749685
Healthcare,More than a bachelor's degree,55000,More important than salary,More important than salary,More important than salary,Less important than salary,Equally important,Equally important,More than a bachelor's degree,0.8775,Diploma,Suburb,Midwest,Attained certificate,Enrolled in postsecondary education and employed part-time,119.711691972378
Other,Bachelor's degree,30000,Equally important,More important than salary,Equally important,More important than salary,More important than salary,More important than salary,Associate's degree,0.3167,Diploma,Suburb,West,Item legitimate skip/NA,Not enrolled in postsecondary education and employed full-time,67.4197382553203
Don't Know,"High school diploma, equivalent, or less",30000,Equally important,Equally important,Equally important,Equally important,Equally important,Equally important,"High school diploma, equivalent, or less",-0.7592,Diploma,Town,South,Item legitimate skip/NA,Not enrolled in postsecondary education and employed full-time,292.758383340865
Military and protective services,Bachelor's degree,70000,More important than salary,Equally important,More important than salary,More important than salary,Less important than salary,More important than salary,"High school diploma, equivalent, or less",-0.8862,Diploma,Rural,South,"No degree, enrolled at a 4-year",Enrolled in postsecondary education and employed part-time,234.783828900832
